Name,Guide,Banner_Customer_Portal,Logo,Banner
Glide,,https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/632/jMDOvP3KezRpeDPGQlqoyk8AW/4963dfbfaf4f909ed3d591055723595e040ce68b.jpg,idnxiEM4gk_1714650154738.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714665600000/K2lT0w7UAvRBq5ffzu7Jng/vc6oNi5sEjRwcQbKkGuCPPIW69hgHGIG5iC4I1gy5DstFY-C4sXhyNe7PUpH_rb2j0OFk3NrpzD0d62Fg4zKbaKfcl5P0Nj4UrHpFz2TR6PyiWLUX3rQZIEWzztWQhyHmEdpeyQx6-DI11lxqUaqlcFaM-GB4tAz_eFDZO0kgqL7lJQo70BA-R7rSnM3YUkf/f-OXwJtSdM3G5_RuOyXFraKMpnQx_baldKyEAo-c1k8),https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/449/aMBJ5DWdLYPayMAOzXRNjrp4Z/850c46044b791ca3af853a796e5212f3423db0af.jpg
Softr,,https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/633/Lvpkalx2D6Bayb7GzWE7rB3Xq/e599e9cc75761ebf97630c9e4f8facc8e697e16d.jpg,id6Uk2Qhx2_1714649938548.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714665600000/GGRMWobtD1bg6_ipuuYNGg/2_x-o-erSaQONSOMuMNC7MRRc1n9DF3UlR5Mv2ndKhrw29BIQWAKvaAJSeeekzaXIMkNoC7jowKjiAtvdP4zu9hy7i9sC3VkZ4RMCEB3bC_a26f-3SPXXri3FQEqq1-YWRm8bY5HFWAt43HgohXv3OIcSxZAkrwIlOoW-OcHVjJ1TX9Lr1jOwUslEOaK2uAR/jjuE9R8R-46zdciqwUxqhvLUoH80dul6Iw7G-p-x7LM),https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/450/kW7yv9eBdzpkvyanYNLRwa5Px/99ce9828d482cd4b92bda87f1dbdc204736aab42.jpg
Appy Pie,,https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/634/JWBKNELpyQ2rvGd8QPvbX5R93/30a339d7cd96d84a93e1fcf59ecc20f3069ab3af.jpg,idoW1W8rM0_1714649951818.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714665600000/0M5s5mHNx1t_FyieIdQnjg/L4N3v5M7o2P0AkK12fcBaDrRlyZNcKZW8_VRj1CPtbL79qmH75ozH3Ssbvy0dqadMuf8LV0JwSr7R2V-7pMPrMPa3RsxbTNpC1NufXr7X4rjuKt0lUf--yO7slB8S6OZC2iunkkQbVyWQEt2PqpOclcJWJ9OMdlVIpDx5XMPy0_sqaGewZ-HZ3J8Ex17VMcF/u9Gzk3EK3xk8L8ZRHQK4a44efpPAEtNhkEsrH-QtfrU),https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/451/jMVrobL3AQ59yVDqQG9ReqJW5/555952fda2ddfd3144c1b06c10247e2e54dd1342.jpg
AppSheet,,https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/631/g4ZpR2ONeYJAyP1yQEqvo9WBA/9dc060fe2a0fd1ad785a7c132093d1bdba132760.jpg,id1K1FJEmr_1714649967517.png (https://v5.airtableusercontent.com/v3/u/28/28/1714665600000/Lrn92MuQwg20zd1fzhoy6w/F0O9Id-GOhu_Fu5GjF5B7BAzVHu0O3qFpyxTC9yk7bKc4F77j1HcfyTCQezG1Ta8X525OH8hiH-i2KtKb4CeTeRNnksdXX3_M2auVF6A27APotO8ULueO8OWY-VGryMVTiUAmaQ5NBdBhpjL3qUi5pG_WVNusPyQpG7W8RcRgZR9IQlPZLC-ytblISk-pL0c/1auKPOX6oztXVidhlod4IuUKc8LVVGyfl8BajFnICrU),https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/453/P0ev7XDZrzqge0POQMjR9og8N/004e386a2445cf496c6260d73db9ac28d9fbf8ef.jpg
Retool,,https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/635/MRj52Zwoa6xk50pGzxWkdO3eE/ff167a09c0cfc76cd712823ceba5350af8ecc914.jpg,idkGZeLnnC_1714650011772.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714665600000/D0TD7jU6ouHTGLGay7J2DA/sJl9MfvT6B8kPcGv-wNFZHifIIiAGFtR35K-I1EXiHu3wIGBwTW59T0I1HawZ9aBsqpunP1xtM_8FMhjU1s65_Jro7LMByUTSA9EfH6K5On1fTiHCFIRS-TFzcgWUuZvoDNPzEFFsKaU6FC2SWSMxaWhWxZY32_tT-K8cDTTDG4PWZZDnn96JFVwja5ykJHd/n0xiuH7vZDtMoxjssjY-aBoSnl6W2xDMSG9SSXMLpW4),https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/454/nGPeXKvLJY79yEoZ6d81p93OM/a9406aa70098f1d532f751db7bc66b0721cf705b.jpg
AppGyver,,https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/637/ZwVbKlDe9Y89yV2gz8moa3jPM/951a3abb568f86774b465b12e4f8b07a3234b236.jpg,appgyver.png (https://v5.airtableusercontent.com/v3/u/28/28/1714665600000/l7nl_krpvXgPtv49fmmgOw/XIyQTidf53Vw8P9CP1mcQEpJPb0YmcGrrP71Bm4jmNeKcUzIdxE-m7Anr1vxXjM12joiT9Q1f8HzHsI6VfG_8gaghkV-7DxEKz0AUZV4apY-JqSLczKT5skkaWcG9QOFCtsIdKj9-YaS92HgAT_levbTScQPsQkXOJeI1tPmUp8/2n9fF5NuVbX3TGys5UzmDMQPSojGjpC3d_w8iQXSpDk),https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/452/5nDZ3xmVezby3dvJYy2qpdWj9/36278d83a56b615a697d782b86061852e5a223cf.jpg
Adalo,,https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/636/PwAV5rMNq6OEyR0jYkBm274Op/58ab4851ba78c9603ca7e493165f5d72527006c0.jpg,idTE3Slwq5_1714650057367.png (https://v5.airtableusercontent.com/v3/u/28/28/1714665600000/NkM6cZyjjleftwoR7vTyOw/26SzMz7JMthzrMQWemV_ID4ecr2oxZpbBhQZOxJOvOfVxandUmGcCQvgDfp_8f-BwI6w21SYLCCjSBDHvm1v71vm9TT3XCcK1Gurlt_NCWUi48rIQCa0K2WZDyCvi7P53Qz22lNIND7ygwhWjKwdH00h5lw1MrxDt2LZDZAMYTDk0tmjVxSd-pZzl14VP0U-/XFNapsoit_3ZpzmixwhPgPBSPazsJDfEDXCxHgbONvE),https://images.bannerbear.com/direct/lRdYrN17m6aZL394vx/requests/000/055/127/455/9BvRDJ724zWWPwNPzlAKNOd03/63240913b5773c762ec5231dd6aa79c30c750a8b.jpg
