Name,Guide,Banner_Customer_Portal,Logo,Banner
Vev,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/257/0Mn5r3E1XY0Av7aBzWPoD9kg7/4eee327f2ec0de81a3d7b16c0f25f223a3ff959a.jpg,61f8a0c1f1b3a6bfd5eaf0c6_Vev.png (https://dl.airtable.com/.attachments/dff18bb4b8ac617fa4023e524cdc718c/570cf859/61f8a0c1f1b3a6bfd5eaf0c6_Vev.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/717/OA0Ekvge5Yd8KPE5YKqRLpWxX/e8fa5927cceff02ee1dbd1976169df83d22ea584.jpg
Candu,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/247/NWlVkgmbMQEWAqDdzZyAqEwDo/42d4a539e4d03ca8cc2963ca597a5b6356c0dc64.jpg,61f89c78bf589a597be58909_Candu.png (https://dl.airtable.com/.attachments/dde477793513828b3b92c606557d22e8/9b9285da/61f89c78bf589a597be58909_Candu.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/714/0eb715rd3zL1P3go6BPpEmKay/f8f5d31ced4009457b1e2f07f9caf7e25bce7b83.jpg
UnStack,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/263/DdWb1LGkNYNqZo5rQ70OKvRAP/5147b23b55add53f21c3f449f46dacb39228acca.jpg,5ffa14cac34e631fb55ed81e_unstack.png (https://dl.airtable.com/.attachments/3b15bf4084bb225af33ab05c42591268/4c7c81dd/5ffa14cac34e631fb55ed81e_unstack.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/716/bknAjN4e76375rOw6XPRKxlD8/105ce19c71a17e8ad5b0423534870ba881e6f139.jpg
Universe,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/269/NnaW7b28GYDnW5MO64VwORxZl/2583ffdf34e4039c02879c41aa221369bba70140.jpg,5ffa1410d25a5e68bbccb76c_universe.png (https://dl.airtable.com/.attachments/38cf6354723489d110f002d20212b9e4/4a9d1cfc/5ffa1410d25a5e68bbccb76c_universe.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/719/DdWb1LGkNYNw51g5z70OKvRAP/3364679d98d1cda3d364eba5dda2238b99d42d01.jpg
Versoly,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/265/nBjKDywPW6Zd7bNpY4vgVoMrN/0b5f2ccb4cceb7515cb8934c2d0e735c56d276ab.jpg,5ffa0f185e2c10a729b12694_versoly.png (https://dl.airtable.com/.attachments/28a8b3ca5f86aca592f11aab98a186f0/9abb177f/5ffa0f185e2c10a729b12694_versoly.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/722/KZA1qL8r0zlM70lL6epakDXbM/297319cef32cbbeeb798be0f46a7ec3caf185962.jpg
Wix,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/251/jMVrobL3AQ5Vv4qLYG9ReqJW5/e29f47f3a9007a15a7a622aefef8a92150b5806a.jpg,5ffa0720679e6756a55118d5_wix.png (https://dl.airtable.com/.attachments/9c96e4c0e55eb208fc964b67943bd5f4/83734188/5ffa0720679e6756a55118d5_wix.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/715/Nxmo39RaVQ9B0RaeYAOe2Ewg5/d869ad21808ea8e47e64318679971137dd17bead.jpg
Webflow,<a href="https://help.pricewell.io/integrations/webflow/" class="focus:outline-none inline-block font-semibold border rounded-lg py-2 px-8 bg-white text-black hover:bg-gray-200">Step-by-step Guide</a>,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/252/5nDZ3xmVezbd1MeOQy2qpdWj9/06dc9ccfe47fc56025bc3d5bbf8b4e30d314301c.jpg,5ffa0370138d79938848d140_webflow.png (https://dl.airtable.com/.attachments/26825d1204a2d3fb49fa1c0a57ca5b8b/2321b709/5ffa0370138d79938848d140_webflow.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/723/7gAk4KJj8QmRWLvoYvwqxrD20/de3acba8f734d3274c40d32630cc05d292da64cf.jpg
Wappler,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/260/bknAjN4e7634v35EQXPRKxlD8/8979116bcc0cd90a2072c7f653c2fc81e8eb4ef3.jpg,5ff9f976d5a56737389f733a_wappler-io.png (https://dl.airtable.com/.attachments/8bcd4a70ef5152f37be1f100069e2342/663f5698/5ff9f976d5a56737389f733a_wappler-io.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/718/P523LdrvK61nPMBLQ7nypx4jW/49549c94c96b25d4049159ac692e1a446c4ebc31.jpg
Tilda,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/262/P523LdrvK61bvAPKQ7nypx4jW/b53155a690a4068a4349f2b8058f529f5e2d799b.jpg,5ff9b6674d19bfb02fcec62c_tilda.png (https://dl.airtable.com/.attachments/f0c0af976c110ff23ac81359a516efed/78f771c5/5ff9b6674d19bfb02fcec62c_tilda.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/720/3Be2PXkVAQ4WboNX6m78j1oNa/69d9e32b68b24d41ee0d4d0f073f1ed569c36d44.jpg
Squarespace,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/259/Nxmo39RaVQ9Pew036AOe2Ewg5/1d4155222f5ddd063406ade16c2e20b8eadeb67e.jpg,5ff95707ce5ce3dfe0424ccd_squarespace.png (https://dl.airtable.com/.attachments/9cc7e8becd7e092615b8ef3153df75eb/38e81a04/5ff95707ce5ce3dfe0424ccd_squarespace.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/724/DqR2v1kNaYMWpdgk68epZrOWP/3366b340046835be3a512362dd11b7150c928cac.jpg
